Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
11,1,30,4,7.0,4110.0,4200.0,30.0,4.0,8.0,,16.0
11,2,54,1,7.0,2330.0,3500.0,40.0,4.0,9.0,,16.0
11,2,44,4,6.0,4226.0,3000.0,44.0,3.0,9.0,1.0,14.0
11,1,40,4,5.0,5223.0,3000.0,44.0,3.0,4.0,1.0,13.0
11,1,49,2,5.0,3113.0,2800.0,44.0,3.0,4.0,1.0,12.0
11,2,48,4,5.0,9111.0,1800.0,40.0,1.0,11.0,1.0,12.0
11,1,21,4,6.0,4226.0,2000.0,40.0,3.0,9.0,1.0,13.0
11,2,42,4,4.0,5141.0,1320.0,8.0,6.0,10.0,,11.0
11,1,36,2,5.0,5153.0,2400.0,36.0,3.0,7.0,1.0,12.0
11,1,74,4,7.0,2330.0,2000.0,6.0,4.0,9.0,,16.0
11,2,41,4,7.0,2330.0,2000.0,6.0,4.0,9.0,,16.0
11,1,36,2,1.0,2652.0,3000.0,44.0,6.0,6.0,,0.0
11,2,41,4,7.0,4110.0,4500.0,6.0,4.0,7.0,,16.0
11,1,42,4,7.0,2411.0,4500.0,8.0,5.0,7.0,,16.0
11,1,23,4,3.0,5221.0,1320.0,8.0,5.0,4.0,,9.0
11,1,41,4,3.0,5221.0,200.0,40.0,6.0,4.0,,9.0
11,1,43,4,3.0,5164.0,1500.0,8.0,3.0,10.0,1.0,9.0
11,2,41,4,3.0,2351.0,1500.0,8.0,3.0,9.0,1.0,9.0
11,1,41,1,5.0,6121.0,2000.0,56.0,6.0,1.0,,12.0
11,1,49,4,2.0,6121.0,3000.0,40.0,6.0,1.0,,5.0
11,1,19,4,4.0,9334.0,1800.0,44.0,3.0,4.0,1.0,11.0
11,1,52,1,2.0,6121.0,3000.0,44.0,6.0,1.0,,5.0
11,1,27,4,5.0,6111.0,1500.0,30.0,6.0,1.0,,12.0
11,1,54,1,2.0,6121.0,1300.0,24.0,6.0,1.0,,6.0
11,2,59,2,2.0,7531.0,600.0,10.0,3.0,2.0,2.0,5.0
11,1,37,1,5.0,6121.0,3000.0,30.0,6.0,1.0,,12.0
11,1,36,2,2.0,6121.0,1700.0,36.0,3.0,1.0,2.0,5.0
11,2,44,4,2.0,6121.0,1000.0,40.0,6.0,1.0,,6.0
11,2,40,4,5.0,9112.0,1320.0,40.0,3.0,4.0,1.0,12.0
11,1,46,4,5.0,7511.0,1420.0,41.0,3.0,4.0,1.0,12.0
11,2,19,4,5.0,5243.0,1320.0,40.0,3.0,4.0,1.0,12.0
11,1,28,4,3.0,7125.0,1320.0,40.0,3.0,2.0,1.0,9.0
11,2,27,4,7.0,2330.0,2000.0,40.0,4.0,9.0,,14.0
11,2,50,4,2.0,9111.0,2500.0,40.0,1.0,11.0,1.0,6.0
11,1,24,4,4.0,5223.0,2000.0,40.0,3.0,2.0,1.0,10.0
11,1,45,4,2.0,9112.0,1320.0,46.0,3.0,4.0,1.0,5.0
11,1,36,4,3.0,7231.0,1800.0,40.0,3.0,4.0,2.0,9.0
11,2,50,4,7.0,4120.0,1400.0,40.0,3.0,4.0,2.0,16.0
11,1,20,4,4.0,7511.0,2400.0,40.0,3.0,2.0,1.0,10.0
11,2,28,4,1.0,4110.0,2300.0,40.0,3.0,4.0,1.0,0.0
11,1,62,1,5.0,1111.0,4000.0,30.0,4.0,8.0,2.0,12.0
11,2,57,4,7.0,2342.0,3800.0,44.0,4.0,9.0,,16.0
11,2,41,2,7.0,2221.0,3000.0,40.0,4.0,8.0,,16.0
11,2,45,4,7.0,3411.0,3980.0,40.0,4.0,8.0,2.0,16.0
11,1,48,4,2.0,7131.0,1320.0,40.0,6.0,3.0,,5.0
11,1,15,4,2.0,9122.0,400.0,30.0,6.0,4.0,,6.0
11,2,28,4,7.0,4110.0,2000.0,40.0,4.0,8.0,,14.0
11,1,40,4,5.0,7233.0,2800.0,40.0,3.0,2.0,1.0,12.0
11,2,42,1,6.0,2423.0,5000.0,40.0,3.0,2.0,1.0,16.0
11,1,44,4,6.0,4321.0,3000.0,44.0,4.0,8.0,,13.0
11,1,25,1,5.0,5141.0,1300.0,44.0,3.0,10.0,2.0,12.0
11,2,41,4,7.0,2261.0,0.0,44.0,6.0,9.0,,16.0
11,1,30,4,5.0,5223.0,0.0,44.0,3.0,4.0,1.0,12.0
11,1,23,1,2.0,7213.0,1320.0,44.0,3.0,2.0,1.0,6.0
11,2,45,4,2.0,9111.0,1320.0,44.0,1.0,11.0,1.0,5.0
