Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
15,1,26,1,7.0,7422,1900.0,40.0,3.0,7.0,1.0,15.0
15,2,42,1,7.0,2151,6000.0,40.0,4.0,8.0,2.0,16.0
15,1,50,4,2.0,7422,6000.0,54.0,5.0,10.0,,7.0
15,1,44,2,7.0,2511,9000.0,40.0,4.0,8.0,,16.0
15,1,73,2,2.0,7422,100.0,10.0,6.0,10.0,,6.0
15,1,56,4,3.0,7422,1000.0,54.0,6.0,10.0,,9.0
15,2,62,4,7.0,2511,18000.0,30.0,4.0,7.0,1.0,16.0
15,1,54,4,7.0,3513,3500.0,30.0,4.0,8.0,,16.0
15,1,18,4,5.0,7422,500.0,36.0,3.0,10.0,2.0,12.0
15,1,35,4,6.0,3113,8500.0,40.0,3.0,2.0,1.0,16.0
15,2,21,1,5.0,3521,200.0,10.0,3.0,4.0,2.0,12.0
15,1,19,4,6.0,2166,2300.0,40.0,3.0,7.0,1.0,13.0
15,1,28,4,5.0,3114,2500.0,40.0,5.0,10.0,,12.0
15,1,56,4,7.0,3513,2100.0,40.0,4.0,8.0,,14.0
15,1,19,4,2.0,7421,1320.0,40.0,3.0,3.0,2.0,8.0
15,1,33,4,6.0,3511,8000.0,40.0,6.0,7.0,,14.0
15,1,27,4,4.0,7422,2000.0,48.0,3.0,7.0,2.0,12.0
15,1,30,4,7.0,2511,4800.0,50.0,3.0,9.0,1.0,16.0
15,1,56,1,5.0,3521,3200.0,36.0,3.0,7.0,1.0,12.0
15,1,44,1,2.0,7422,400.0,35.0,6.0,3.0,,4.0
15,1,40,1,5.0,7422,1500.0,44.0,3.0,9.0,1.0,12.0
15,1,23,1,7.0,2514,9800.0,54.0,3.0,7.0,1.0,16.0
15,1,51,4,5.0,3113,1300.0,20.0,6.0,10.0,,12.0
15,1,18,2,6.0,3114,2700.0,44.0,3.0,3.0,1.0,13.0
15,2,39,4,5.0,3521,1412.0,30.0,3.0,7.0,1.0,12.0
15,1,22,4,5.0,2166,1110.0,36.0,6.0,7.0,,12.0
15,1,28,4,7.0,2511,3200.0,40.0,3.0,2.0,1.0,16.0
15,1,47,4,5.0,3113,2500.0,40.0,3.0,5.0,1.0,12.0
15,1,47,4,7.0,3113,4000.0,40.0,3.0,3.0,1.0,16.0
15,1,29,4,5.0,3114,3600.0,44.0,3.0,2.0,1.0,12.0
15,1,28,4,7.0,3513,2960.0,44.0,3.0,4.0,1.0,16.0
15,1,20,4,5.0,3512,700.0,20.0,4.0,8.0,2.0,12.0
15,1,27,4,6.0,2166,1500.0,25.0,6.0,7.0,,15.0
15,1,37,1,7.0,3114,8500.0,40.0,3.0,3.0,1.0,16.0
15,1,16,4,4.0,3521,1300.0,20.0,6.0,3.0,,10.0
15,1,22,4,7.0,3513,1412.0,44.0,3.0,4.0,1.0,16.0
15,1,38,4,5.0,3113,2900.0,48.0,3.0,2.0,1.0,12.0
15,1,46,1,7.0,2151,18000.0,40.0,3.0,2.0,1.0,16.0
16,1,39,4,5.0,3513,2000.0,40.0,3.0,7.0,1.0,12.0
16,1,35,4,3.0,7422,1412.0,44.0,3.0,7.0,1.0,9.0
16,1,20,4,5.0,3513,1412.0,40.0,4.0,8.0,2.0,12.0
16,1,32,1,7.0,7422,1412.0,20.0,6.0,3.0,,14.0
16,2,30,1,7.0,2511,8000.0,20.0,4.0,9.0,,16.0
16,1,28,1,7.0,2166,2000.0,40.0,6.0,7.0,,16.0
16,2,29,4,5.0,7422,600.0,20.0,6.0,3.0,,12.0
16,2,45,4,7.0,3513,2000.0,40.0,6.0,7.0,,16.0
16,2,45,4,7.0,3114,7000.0,40.0,4.0,8.0,,16.0
16,2,31,1,7.0,3513,2000.0,40.0,3.0,7.0,1.0,15.0
16,1,48,4,7.0,2511,9000.0,40.0,4.0,8.0,,16.0
16,2,30,4,7.0,3511,3500.0,40.0,3.0,7.0,1.0,16.0
16,1,36,4,5.0,7422,4000.0,40.0,6.0,10.0,,12.0
16,1,42,2,2.0,7422,5000.0,40.0,6.0,3.0,,3.0
16,1,41,4,7.0,3513,2000.0,36.0,3.0,7.0,1.0,15.0
16,1,46,4,5.0,7422,1600.0,44.0,3.0,7.0,1.0,12.0
16,1,22,4,7.0,3513,1500.0,40.0,3.0,7.0,1.0,16.0
16,1,24,2,6.0,3113,950.0,30.0,4.0,8.0,2.0,15.0
16,1,30,4,5.0,3513,2500.0,40.0,3.0,7.0,1.0,12.0
16,1,22,1,5.0,3513,2000.0,30.0,6.0,7.0,,12.0
16,1,44,4,3.0,7422,600.0,24.0,6.0,3.0,,9.0
17,1,42,1,7.0,7422,2000.0,40.0,4.0,8.0,,16.0
17,1,35,4,5.0,3113,4000.0,40.0,3.0,2.0,1.0,12.0
17,1,22,5,4.0,3513,1320.0,44.0,3.0,7.0,1.0,12.0
17,1,18,4,4.0,3511,2500.0,40.0,3.0,7.0,1.0,11.0
17,1,37,4,7.0,2511,3000.0,44.0,6.0,7.0,,16.0
17,1,36,2,7.0,3513,7500.0,60.0,3.0,7.0,1.0,16.0
17,1,27,2,5.0,3513,1500.0,40.0,3.0,10.0,2.0,12.0
17,1,41,2,5.0,3511,2640.0,40.0,4.0,8.0,,12.0
17,1,27,1,5.0,7422,3012.0,48.0,3.0,7.0,1.0,12.0
17,1,48,4,5.0,7422,3000.0,44.0,6.0,10.0,,12.0
