Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
15,1,60,4,7.0,2511,20000.0,40.0,6.0,7.0,,16.0
15,1,57,4,7.0,2511,20000.0,40.0,6.0,7.0,,16.0
15,1,25,4,7.0,2512,8000.0,40.0,3.0,7.0,1.0,16.0
15,1,26,4,7.0,2512,4500.0,48.0,3.0,5.0,1.0,16.0
15,1,54,4,5.0,3521,1500.0,30.0,3.0,7.0,1.0,12.0
15,1,45,1,7.0,3513,4000.0,40.0,3.0,4.0,1.0,16.0
15,1,23,1,7.0,3511,6000.0,44.0,3.0,9.0,1.0,16.0
15,1,50,4,5.0,3113,1320.0,20.0,6.0,10.0,,12.0
15,1,29,2,6.0,7422,700.0,20.0,6.0,10.0,,14.0
15,1,34,4,6.0,7422,1200.0,40.0,6.0,10.0,,14.0
15,2,26,4,7.0,2166,1320.0,40.0,6.0,7.0,,16.0
15,1,27,4,7.0,3513,5170.0,44.0,3.0,4.0,1.0,16.0
15,2,18,4,4.0,7422,560.0,20.0,4.0,8.0,1.0,11.0
15,1,27,4,6.0,2166,200.0,10.0,3.0,7.0,2.0,16.0
15,1,36,1,7.0,3114,6000.0,50.0,3.0,10.0,1.0,16.0
15,1,56,4,7.0,3114,3000.0,40.0,3.0,2.0,1.0,16.0
15,1,22,4,7.0,7422,500.0,30.0,6.0,10.0,,16.0
15,1,37,2,5.0,3521,2900.0,35.0,3.0,10.0,2.0,12.0
15,1,46,1,7.0,2151,18000.0,40.0,3.0,2.0,1.0,16.0
16,1,38,4,7.0,7422,1500.0,30.0,6.0,10.0,,16.0
16,1,29,4,7.0,2511,3000.0,40.0,4.0,8.0,,16.0
16,1,39,4,5.0,3513,2000.0,40.0,3.0,7.0,1.0,12.0
16,1,28,1,7.0,2166,2000.0,40.0,6.0,7.0,,16.0
16,1,35,4,5.0,7422,2500.0,40.0,6.0,10.0,,12.0
16,2,44,4,7.0,3513,2400.0,40.0,6.0,7.0,,16.0
16,1,44,4,7.0,3521,2000.0,44.0,6.0,4.0,,16.0
16,2,45,4,7.0,3513,5000.0,40.0,4.0,8.0,,16.0
16,1,37,4,5.0,3513,2000.0,30.0,6.0,7.0,,12.0
16,2,31,1,7.0,3513,2000.0,40.0,3.0,7.0,1.0,15.0
16,1,23,3,5.0,3113,2600.0,44.0,3.0,3.0,1.0,12.0
16,1,38,4,5.0,3521,3000.0,40.0,6.0,7.0,,12.0
16,1,24,2,6.0,3513,800.0,20.0,3.0,7.0,2.0,13.0
16,1,36,4,5.0,7422,3900.0,40.0,6.0,10.0,,12.0
16,1,50,4,7.0,2511,13000.0,40.0,4.0,7.0,,16.0
16,1,41,4,7.0,3513,2000.0,36.0,3.0,7.0,1.0,15.0
16,1,33,4,7.0,2166,3000.0,30.0,6.0,7.0,,16.0
16,1,32,4,7.0,2166,3000.0,30.0,6.0,7.0,,16.0
16,1,26,2,5.0,3513,1600.0,44.0,3.0,7.0,1.0,12.0
16,1,23,2,6.0,3113,950.0,30.0,4.0,8.0,2.0,15.0
16,1,45,4,5.0,2166,1160.0,60.0,6.0,7.0,,12.0
17,1,22,5,4.0,7422,1320.0,44.0,3.0,7.0,1.0,12.0
